"","FIPS","County","Median_HH_Income","Population","Year"
"455","13137","Habersham County, Georgia",41790,40412,2009
"456","13139","Hall County, Georgia",177685,51222,2009
"457","13141","Hancock County, Georgia",9449,26786,2009
"458","13143","Haralson County, Georgia",28559,38290,2009
"459","13145","Harris County, Georgia",28884,63368,2009
"460","13147","Hart County, Georgia",24088,38132,2009
"461","13149","Heard County, Georgia",11423,40640,2009
"462","13151","Henry County, Georgia",182952,65002,2009
"463","13153","Houston County, Georgia",130910,54037,2009
"464","13155","Irwin County, Georgia",10138,37328,2009
"465","13157","Jackson County, Georgia",58644,48114,2009
"466","13159","Jasper County, Georgia",13588,42242,2009
"467","13161","Jeff Davis County, Georgia",13312,29932,2009
"468","13163","Jefferson County, Georgia",16480,29036,2009
"469","13165","Jenkins County, Georgia",8532,26652,2009
"470","13167","Johnson County, Georgia",9202,25789,2009
"471","13169","Jones County, Georgia",27256,49337,2009
"472","13171","Lamar County, Georgia",17010,35835,2009
"473","13173","Lanier County, Georgia",7967,34497,2009
"474","13175","Laurens County, Georgia",47510,38247,2009
"475","13177","Lee County, Georgia",32861,60456,2009
"476","13179","Liberty County, Georgia",60994,40911,2009
"477","13181","Lincoln County, Georgia",8038,35350,2009
"478","13183","Long County, Georgia",11394,41943,2009
"479","13185","Lowndes County, Georgia",102440,39200,2009
"480","13187","Lumpkin County, Georgia",26417,41589,2009
"481","13189","McDuffie County, Georgia",21624,34897,2009
"482","13191","McIntosh County, Georgia",11268,37629,2009
"483","13193","Macon County, Georgia",13397,28382,2009
"484","13195","Madison County, Georgia",27735,40106,2009
"485","13197","Marion County, Georgia",7026,32432,2009
"486","13199","Meriwether County, Georgia",22858,37305,2009
"487","13201","Miller County, Georgia",6166,33125,2009
"488","13205","Mitchell County, Georgia",23808,36344,2009
"489","13207","Monroe County, Georgia",24728,50579,2009
"490","13209","Montgomery County, Georgia",8939,33970,2009
"491","13211","Morgan County, Georgia",18120,44845,2009
"492","13213","Murray County, Georgia",40535,38348,2009
"493","13215","Muscogee County, Georgia",188737,40549,2009
"494","13217","Newton County, Georgia",94076,52743,2009
"495","13219","Oconee County, Georgia",31422,69959,2009
"496","13221","Oglethorpe County, Georgia",13927,44465,2009
"497","13223","Paulding County, Georgia",125780,60138,2009
"498","13225","Peach County, Georgia",26019,43391,2009
"499","13227","Pickens County, Georgia",30021,50145,2009
"500","13229","Pierce County, Georgia",17830,35137,2009
"501","13231","Pike County, Georgia",17012,52579,2009
"502","13233","Polk County, Georgia",41414,39968,2009
"503","13235","Pulaski County, Georgia",9778,32053,2009
"504","13237","Putnam County, Georgia",20145,41297,2009
"505","13239","Quitman County, Georgia",2647,30985,2009
"506","13241","Rabun County, Georgia",16464,34308,2009
"507","13243","Randolph County, Georgia",7259,28193,2009
"508","13245","Richmond County, Georgia",198079,37339,2009
"509","13247","Rockdale County, Georgia",81444,55681,2009
"510","13249","Schley County, Georgia",4129,38722,2009
"511","13251","Screven County, Georgia",15077,32943,2009
"512","13253","Seminole County, Georgia",9068,35364,2009
"513","13255","Spalding County, Georgia",63073,41319,2009
"514","13257","Stephens County, Georgia",25343,34309,2009
"515","13259","Stewart County, Georgia",4638,33772,2009
"516","13261","Sumter County, Georgia",32363,32245,2009
"517","13263","Talbot County, Georgia",6496,30523,2009
"518","13265","Taliaferro County, Georgia",1863,21116,2009
"519","13267","Tattnall County, Georgia",23310,36028,2009
"520","13269","Taylor County, Georgia",8654,23458,2009
"521","13271","Telfair County, Georgia",13146,24609,2009
"522","13273","Terrell County, Georgia",10364,26723,2009
"523","13275","Thomas County, Georgia",45275,36036,2009
"524","13277","Tift County, Georgia",41932,37121,2009
"525","13279","Toombs County, Georgia",27601,30203,2009
"526","13281","Towns County, Georgia",10752,39908,2009
"527","13283","Treutlen County, Georgia",6907,27627,2009
"528","13285","Troup County, Georgia",63414,39788,2009
"529","13287","Turner County, Georgia",9374,30414,2009
"530","13289","Twiggs County, Georgia",10259,29593,2009
"531","13291","Union County, Georgia",20699,38100,2009
"532","13293","Upson County, Georgia",27501,33634,2009
"533","13295","Walker County, Georgia",64295,38646,2009
